iter	Passed	Remaining
0	18	18764
1	39	19765
2	58	19397
3	76	19014
4	95	19056
5	113	18865
6	131	18598
7	147	18317
8	165	18249
9	183	18151
10	202	18240
11	220	18180
12	239	18193
13	255	18011
14	271	17835
15	286	17600
16	300	17374
17	313	17110
18	346	17894
19	359	17612
20	372	17362
21	387	17206
22	403	17132
23	419	17047
24	432	16853
25	445	16684
26	458	16527
27	472	16402
28	486	16296
29	499	16162
30	513	16048
31	528	15995
32	542	15911
33	556	15814
34	570	15717
35	583	15612
36	595	15489
37	608	15395
38	621	15305
39	633	15213
40	647	15154
41	662	15104
42	674	15015
43	687	14930
44	699	14840
45	711	14764
46	723	14673
47	735	14591
48	747	14509
49	760	14443
50	772	14372
51	786	14329
52	810	14479
53	824	14448
54	842	14478
55	856	14442
56	868	14366
57	886	14392
58	899	14342
59	931	14601
60	944	14531
61	956	14465
62	968	14404
63	980	14339
64	992	14276
65	1005	14223
66	1022	14240
67	1034	14182
68	1047	14140
69	1059	14072
70	1072	14029
71	1084	13981
72	1095	13915
73	1107	13853
74	1119	13812
75	1132	13763
76	1144	13713
77	1160	13722
78	1171	13663
79	1183	13614
80	1196	13574
81	1208	13531
82	1219	13478
83	1231	13426
84	1242	13379
85	1254	13337
86	1266	13290
87	1278	13253
88	1290	13211
89	1302	13169
90	1322	13213
91	1335	13184
92	1347	13139
93	1359	13099
94	1372	13073
95	1384	13036
96	1396	12999
97	1411	12988
98	1423	12955
99	1436	12924
100	1447	12885
101	1459	12848
102	1471	12817
103	1483	12779
104	1494	12739
105	1505	12698
106	1516	12652
107	1527	12615
108	1538	12577
109	1548	12530
110	1558	12485
111	1567	12431
112	1578	12392
113	1590	12359
114	1600	12318
115	1612	12287
116	1625	12269
117	1636	12228
118	1646	12192
119	1659	12168
120	1669	12126
121	1679	12090
122	1690	12051
123	1702	12027
124	1714	12000
125	1725	11970
126	1737	11943
127	1749	11919
128	1761	11892
129	1773	11870
130	1784	11840
131	1794	11800
132	1805	11769
133	1816	11739
134	1826	11701
135	1837	11674
136	1846	11633
137	1857	11603
138	1868	11575
139	1879	11544
140	1891	11522
141	1902	11496
142	1913	11466
143	1925	11443
144	1936	11419
145	1948	11396
146	1960	11377
147	1972	11353
148	1983	11331
149	1998	11322
150	2008	11295
151	2019	11264
152	2033	11257
153	2046	11240
154	2056	11213
155	2068	11189
156	2078	11162
157	2088	11131
158	2101	11117
159	2112	11092
160	2123	11066
161	2135	11044
162	2144	11012
163	2154	10982
164	2167	10970
165	2177	10941
166	2188	10913
167	2197	10882
168	2211	10873
169	2222	10852
170	2233	10827
171	2246	10812
172	2257	10791
173	2269	10773
174	2279	10747
175	2291	10730
176	2313	10759
177	2325	10737
178	2338	10724
179	2357	10739
180	2371	10731
181	2381	10704
182	2392	10680
183	2404	10662
184	2415	10639
185	2427	10623
186	2438	10600
187	2450	10584
188	2459	10555
189	2472	10542
190	2487	10535
191	2499	10518
192	2512	10504
193	2525	10492
194	2538	10478
195	2550	10461
196	2561	10440
197	2572	10421
198	2583	10399
199	2596	10387
200	2610	10378
201	2622	10359
202	2634	10344
203	2647	10331
204	2657	10304
205	2672	10300
206	2683	10278
207	2694	10258
208	2711	10262
209	2724	10249
210	2735	10228
211	2747	10213
212	2764	10214
213	2780	10211
214	2791	10191
215	2804	10181
216	2815	10157
217	2826	10139
218	2841	10134
219	2850	10107
220	2871	10121
221	2883	10103
222	2895	10088
223	2910	10081
224	2923	10069
225	2940	10069
226	2954	10060
227	2966	10043
228	2978	10028
229	2990	10010
230	3002	9996
231	3017	9988
232	3029	9973
233	3039	9951
234	3055	9947
235	3067	9931
236	3081	9919
237	3097	9915
